"","year","no","yes","no.se","yes.se","no.cil","yes.cil","no.ciu","yes.ciu"
"1",2005,0.846819343809588,0.144039242875068,0.00803232434468793,0.00257576540478281,0.831076277381856,0.138990835449069,0.862562410237321,0.149087650301066
"2",2006,0.840134667504569,0.148864358066998,0.012992152987156,0.00344676234186526,0.814670515568109,0.142108828013673,0.865598819441029,0.155619888120323
"3",2007,0.845510047087199,0.145652560297658,0.0129245113705506,0.00325321449612011,0.820178470283142,0.139276377051279,0.870841623891257,0.152028743544037
"4",2008,0.843924246835159,0.146768939094501,0.0126733136357494,0.00336419298529913,0.819085008544309,0.140175242006272,0.868763485126008,0.153362636182729
"5",2009,0.839538464378899,0.153270869064442,0.0110390369311729,0.00312742799008822,0.817902349569792,0.147141222839626,0.861174579188005,0.159400515289257
"6",2010,0.833955861319966,0.158852483308518,0.0105924927605133,0.00305160546533927,0.813194957002858,0.152871446501428,0.854716765637073,0.164833520115609
"7",2011,0.84210543728417,0.149739440349748,0.00849780892993339,0.00253278638594363,0.825450037833998,0.144775270252765,0.858760836734342,0.154703610446731
"8",2012,0.844980507978176,0.1461278305235,0.00846700850475698,0.00266003693749109,0.828385476252058,0.140914253928471,0.861575539704294,0.151341407118528
"9",2013,0.847841633389949,0.143562247162042,0.00792592927112755,0.002497669665307,0.832307097474528,0.138666904572762,0.863376169305371,0.148457589751322
"10",2014,0.875613228539821,0.113829792979786,0.00944923178762828,0.00216639994008695,0.857093074554498,0.109583727121106,0.894133382525144,0.118075858838466
"11",2015,0.898726765039284,0.0907134941640299,0.00911886135846623,0.0018789428885432,0.880854125196677,0.0870308337734775,0.916599404881892,0.0943961545545822
